Variables Perecent: 100, Test accuracy: 0.9698
Variables Perecent: 99, Test accuracy: 0.8812
Variables Perecent: 98, Test accuracy: 0.7064
Variables Perecent: 97, Test accuracy: 0.4714
Variables Perecent: 96, Test accuracy: 0.4114
Variables Perecent: 95, Test accuracy: 0.2689
Variables Perecent: 94, Test accuracy: 0.273
Variables Perecent: 93, Test accuracy: 0.26
Variables Perecent: 92, Test accuracy: 0.0929
Variables Perecent: 91, Test accuracy: 0.0892
Variables Perecent: 90, Test accuracy: 0.0892
Variables Perecent: 89, Test accuracy: 0.0892
Variables Perecent: 88, Test accuracy: 0.0892
Variables Perecent: 87, Test accuracy: 0.0892
Variables Perecent: 86, Test accuracy: 0.0892
Variables Perecent: 85, Test accuracy: 0.0892
Variables Perecent: 84, Test accuracy: 0.0892
Variables Perecent: 83, Test accuracy: 0.0892
Variables Perecent: 82, Test accuracy: 0.0892
Variables Perecent: 81, Test accuracy: 0.0892

