Variables Perecent: 100, Test accuracy: 0.9656
Variables Perecent: 99, Test accuracy: 0.9656
Variables Perecent: 98, Test accuracy: 0.9656
Variables Perecent: 97, Test accuracy: 0.9656
Variables Perecent: 96, Test accuracy: 0.9656
Variables Perecent: 95, Test accuracy: 0.9656
Variables Perecent: 94, Test accuracy: 0.9656
Variables Perecent: 93, Test accuracy: 0.9658
Variables Perecent: 92, Test accuracy: 0.9654
Variables Perecent: 91, Test accuracy: 0.9653
Variables Perecent: 90, Test accuracy: 0.9647
Variables Perecent: 89, Test accuracy: 0.9641
Variables Perecent: 88, Test accuracy: 0.964
Variables Perecent: 87, Test accuracy: 0.9622
Variables Perecent: 86, Test accuracy: 0.9611
Variables Perecent: 85, Test accuracy: 0.9609
Variables Perecent: 84, Test accuracy: 0.9598
Variables Perecent: 83, Test accuracy: 0.9507
Variables Perecent: 82, Test accuracy: 0.9506
Variables Perecent: 81, Test accuracy: 0.9438
Variables Perecent: 80, Test accuracy: 0.9214
Variables Perecent: 70, Test accuracy: 0.6661
Variables Perecent: 60, Test accuracy: 0.1063
Variables Perecent: 50, Test accuracy: 0.0896
Variables Perecent: 40, Test accuracy: 0.178
Variables Perecent: 30, Test accuracy: 0.0892

