Variables Perecent: 100, Test accuracy: 0.9672
Variables Perecent: 99, Test accuracy: 0.9641
Variables Perecent: 98, Test accuracy: 0.9546
Variables Perecent: 97, Test accuracy: 0.9461
Variables Perecent: 96, Test accuracy: 0.6099
Variables Perecent: 95, Test accuracy: 0.28
Variables Perecent: 94, Test accuracy: 0.2352
Variables Perecent: 93, Test accuracy: 0.1263
Variables Perecent: 92, Test accuracy: 0.1029
Variables Perecent: 91, Test accuracy: 0.1771
Variables Perecent: 90, Test accuracy: 0.1063
Variables Perecent: 89, Test accuracy: 0.1784
Variables Perecent: 88, Test accuracy: 0.1339
Variables Perecent: 87, Test accuracy: 0.1555
Variables Perecent: 86, Test accuracy: 0.103
Variables Perecent: 85, Test accuracy: 0.1135
Variables Perecent: 84, Test accuracy: 0.0901
Variables Perecent: 83, Test accuracy: 0.1028
Variables Perecent: 82, Test accuracy: 0.1135
Variables Perecent: 81, Test accuracy: 0.0922

